Employee_ID,Age,Gender,Marital_Status,Education_Level,Department,Job_Role,Employment_Type,Years_At_Company,Years_In_Current_Role,Monthly_Income,Salary_Hike_Percent,Job_Level,Performance_Rating,Job_Satisfaction,Work_Life_Balance,Environment_Satisfaction,Relationship_Satisfaction,Training_Hours_Last_Year,Overtime,Remote_Work,Business_Travel,Distance_From_Home,Commute_Time_Minutes,Number_Of_Projects,Team_Size,Manager_Rating,Absence_Days,Promotion_Last_5_Years,Stock_Option,Attrition_Risk_Score,Attrition
200001,26,Female,Divorced,Bachelor,Marketing,Marketing Manager,Part-Time,1,0,7673,11.0,2,2,1,2,4,3,58,Yes,No,Never,6,23,7,7,3,7,No,No,97,Yes
200002,45,Female,Married,Master,Marketing,SEO Specialist,Full-Time,4,1,9060,16.5,2,2,4,3,1,4,26,Yes,Yes,Rarely,15,64,6,11,2,10,No,No,72,Yes
200003,39,Male,Married,Bachelor,IT,IT Manager,Full-Time,3,3,10899,15.6,3,3,5,2,2,5,34,No,No,Rarely,5,15,6,3,4,9,No,Yes,45,No
200004,22,Male,Divorced,Master,Operations,Quality Analyst,Full-Time,4,4,8205,15.6,2,3,5,1,5,3,73,Yes,No,Never,11,32,6,12,3,11,No,No,49,Yes
200005,31,Male,Married,High School,Marketing,Marketing Executive,Full-Time,12,1,9981,11.7,4,2,4,3,3,4,48,No,Yes,Never,11,42,3,4,3,5,No,Yes,20,No
200006,51,Male,Married,Bachelor,HR,HR Executive,Full-Time,0,0,4401,18.6,2,3,3,4,2,2,42,Yes,Yes,Frequently,14,47,3,13,4,10,No,No,77,Yes
200007,18,Male,Single,Bachelor,Operations,Operations Manager,Contract,0,0,5155,12.6,2,3,3,5,2,3,13,Yes,Yes,Rarely,11,34,3,11,5,6,No,No,74,Yes
200008,32,Male,Single,Master,Marketing,Content Strategist,Contract,1,0,5231,13.2,1,3,1,3,3,3,43,Yes,No,Rarely,8,43,5,9,3,10,No,No,70,Yes
200009,47,Male,Single,Bachelor,IT,IT Manager,Full-Time,20,18,18271,15.1,5,3,3,3,5,1,59,Yes,No,Never,6,21,1,6,4,7,No,Yes,41,No
200010,28,Male,Married,PhD,Operations,Logistics Coordinator,Full-Time,9,6,14525,13.0,4,4,4,3,5,3,5,Yes,Yes,Never,24,92,4,7,3,8,No,Yes,33,No
200011,30,Male,Married,Bachelor,Sales,Business Development,Contract,0,0,6291,12.6,1,3,3,4,5,4,19,No,Yes,Rarely,12,47,5,6,5,5,No,Yes,51,Yes
200012,35,Female,Divorced,PhD,IT,Software Engineer,Full-Time,14,0,18266,13.1,4,4,5,3,4,4,43,No,Yes,Rarely,7,21,4,6,4,4,No,Yes,10,No
200013,49,Male,Married,Master,IT,Software Engineer,Full-Time,0,0,10225,19.4,2,3,5,2,3,3,26,No,No,Rarely,37,93,5,11,5,9,No,No,64,Yes
200014,30,Male,Married,Bachelor,IT,Software Engineer,Full-Time,5,3,14393,14.4,4,3,3,3,4,4,42,No,Yes,Frequently,16,38,2,2,4,3,No,Yes,31,No
