employee_id,age,gender,marital_status,education_level,department,job_role,employment_type,years_at_company,years_in_current_role,monthly_income,salary_hike_percent,job_level,performance_rating,job_satisfaction,work_life_balance,environment_satisfaction,relationship_satisfaction,training_hours_last_year,overtime,remote_work,business_travel,distance_from_home,commute_time_minutes,number_of_projects,team_size,manager_rating,absence_days,promotion_last_5_years,stock_option,attrition_risk_score,attrition
200001,26,Female,Divorced,Bachelor,Marketing,Marketing Manager,Part-Time,1,0,7673,11.0,2,2,1,2,4,3,58,1,0,Never,6,23,7,7,3,7,0,0,97,1
200002,45,Female,Married,Master,Marketing,SEO Specialist,Full-Time,4,1,9060,16.5,2,2,4,3,1,4,26,1,1,Rarely,15,64,6,11,2,10,0,0,72,1
200003,39,Male,Married,Bachelor,IT,IT Manager,Full-Time,3,3,10899,15.6,3,3,5,2,2,5,34,0,0,Rarely,5,15,6,3,4,9,0,1,45,0
200004,22,Male,Divorced,Master,Operations,Quality Analyst,Full-Time,4,4,8205,15.6,2,3,5,1,5,3,73,1,0,Never,11,32,6,12,3,11,0,0,49,1
200005,31,Male,Married,High School,Marketing,Marketing Executive,Full-Time,12,1,9981,11.7,4,2,4,3,3,4,48,0,1,Never,11,42,3,4,3,5,0,1,20,0
200006,51,Male,Married,Bachelor,HR,HR Executive,Full-Time,0,0,4401,18.6,2,3,3,4,2,2,42,1,1,Frequently,14,47,3,13,4,10,0,0,77,1
200007,18,Male,Single,Bachelor,Operations,Operations Manager,Contract,0,0,5155,12.6,2,3,3,5,2,3,13,1,1,Rarely,11,34,3,11,5,6,0,0,74,1
200008,32,Male,Single,Master,Marketing,Content Strategist,Contract,1,0,5231,13.2,1,3,1,3,3,3,43,1,0,Rarely,8,43,5,9,3,10,0,0,70,1
200009,47,Male,Single,Bachelor,IT,IT Manager,Full-Time,20,18,18271,15.1,5,3,3,3,5,1,59,1,0,Never,6,21,1,6,4,7,0,1,41,0
200010,28,Male,Married,PhD,Operations,Logistics Coordinator,Full-Time,9,6,14525,13.0,4,4,4,3,5,3,5,1,1,Never,24,92,4,7,3,8,0,1,33,0
200011,30,Male,Married,Bachelor,Sales,Business Development,Contract,0,0,6291,12.6,1,3,3,4,5,4,19,0,1,Rarely,12,47,5,6,5,5,0,1,51,1
200012,35,Female,Divorced,PhD,IT,Software Engineer,Full-Time,14,0,18266,13.1,4,4,5,3,4,4,43,0,1,Rarely,7,21,4,6,4,4,0,1,10,0
200013,49,Male,Married,Master,IT,Software Engineer,Full-Time,0,0,10225,19.4,2,3,5,2,3,3,26,0,0,Rarely,37,93,5,11,5,9,0,0,64,1
200014,30,Male,Married,Bachelor,IT,Software Engineer,Full-Time,5,3,14393,14.4,4,3,3,3,4,4,42,0,1,Frequently,16,38,2,2,4,3,0,1,31,0
200015,32,Male,Married,Master,Finance,Financial Analyst,Full-Time,1,1,6423,16.9,1,3,3,3,4,4,43,0,1,Rarely,8,22,6,12,4,6,0,0,30,0
200016,32,Male,Single,Bachelor,Marketing,Marketing Manager,Full-Time,8,4,5655,15.6,1,3,1,3,1,3,39,0,1,Never,12,54,4,6,3,4,0,1,55,0
200017,56,Female,Married,Bachelor,Marketing,Marketing Executive,Full-Time,20,18,14045,10.3,5,3,3,1,3,2,69,0,1,Never,15,56,5,7,3,9,0,1,46,0
200018,56,Male,Single,Bachelor,Sales,Sales Manager,Full-Time,5,4,6274,10.4,2,3,4,3,3,4,10,1,0,Frequently,29,120,3,3,3,7,0,0,52,0
200019,45,Male,Married,High School,Operations,Operations Manager,Full-Time,2,2,2599,14.2,1,3,3,2,3,5,26,0,1,Rarely,29,67,4,8,3,8,0,0,45,1
200020,39,Female,Single,Bachelor,IT,System Administrator,Full-Time,5,0,10767,17.4,3,2,4,2,4,3,19,0,0,Never,15,60,3,17,2,1,0,1,41,0
200021,43,Male,Married,Master,Sales,Sales Manager,Full-Time,2,1,9458,18.9,3,3,2,4,2,3,52,1,1,Rarely,11,31,4,8,2,4,0,1,74,1
200022,49,Male,Married,Master,Operations,Operations Executive,Full-Time,17,3,13544,12.1,5,4,3,4,2,4,32,1,0,Frequently,14,41,3,9,4,6,0,1,48,0
200023,28,Female,Single,Bachelor,Marketing,Marketing Manager,Part-Time,4,0,6883,15.1,2,4,3,2,4,2,42,0,1,Frequently,20,75,4,13,5,4,0,0,56,1
200024,47,Male,Married,Master,HR,HR Manager,Part-Time,18,9,12385,17.3,4,3,2,2,5,4,49,0,1,Rarely,9,29,6,7,1,4,0,1,60,0
200025,25,Male,Married,High School,Operations,Operations Manager,Full-Time,2,1,6312,15.3,2,3,3,5,4,3,35,1,0,Rarely,10,34,3,12,3,2,0,0,35,0
200026,30,Male,Married,Bachelor,Finance,Finance Manager,Full-Time,7,5,9910,12.8,3,4,4,3,3,3,58,1,0,Never,15,36,6,2,3,8,1,1,22,0
